86.133,4.2957,1,59.694,0
86.133,11.006,1,54.68,6.7106
86.133,22.163,1,72.083,11.157
86.133,23.568,1,53.066,1.4048
86.133,25.832,1,58.381,2.2639
86.133,26.958,1,53.386,1.1262
86.133,30.337,1,60.06,3.3785
86.133,51.432,1,63.525,21.095
86.133,56.152,1,59.586,4.7195
86.133,57.289,1,53.572,1.1378
86.133,59.513,1,55.712,2.2233
86.133,61.753,1,68.05,2.2407
86.133,65.109,1,57.492,3.3553
86.133,78.553,1,58.823,13.444
86.133,83.069,1,63.558,4.5163
86.133,84.497,1,54.021,1.428
86.133,87.609,1,53.41,3.1115
129.2,92.125,1,53.354,4.5163
129.2,94.343,1,59.196,2.2175
86.133,96.618,1,60.91,2.2756
86.133,98.058,1,64.379,1.4396
86.133,100.33,1,55.605,2.2698
86.133,101.45,1,58.298,1.1204
129.2,105.71,1,58.508,4.2667
86.133,107.09,1,62.84,1.3758
86.133,110.39,1,58.643,3.303
86.133,111.53,1,54.226,1.132
86.133,113.75,1,55.453,2.2233
86.133,115.99,1,67.109,2.2407
86.133,119.34,1,58.484,3.3553
86.133,124.93,1,60.469,5.5902
86.133,132.63,1,56.836,7.6974
86.133,134.57,1,55.285,1.9331
86.133,139.28,1,55.634,4.7195
129.2,139.84,1,54.947,0.55147
86.133,141.22,1,61.2,1.3874
86.133,142.61,1,69.658,1.3874
86.133,143.75,1,60,1.1378
172.27,144.27,1,59.89,0.52245
86.133,153.66,1,60.429,9.3867
86.133,155.88,1,61.685,2.2233
86.133,156.71,1,52.596,0.82431
86.133,159.2,1,61.903,2.4903
86.133,162.5,1,53.539,3.303
86.133,163.33,1,53.377,0.83011
172.27,165.77,1,56.134,2.4439
129.2,169.87,1,63.981,4.0983
86.133,171.28,1,57.993,1.4106
86.133,172.1,1,59.295,0.8185
86.133,173.5,1,54.491,1.399
86.133,174.35,1,52.445,0.84753
172.27,174.87,1,54.028,0.52245
86.133,175.7,1,56.029,0.83011
86.133,176.8,1,62.404,1.0971
86.133,183.17,1,58.893,6.3739
172.27,183.96,1,61.726,0.78948
172.27,186.15,1,53.949,2.1885
86.133,187.52,1,54.878,1.3758
86.133,189.77,1,60.608,2.2407
86.133,191.16,1,55.098,1.3932
86.133,200.84,1,64.937,9.6827
86.133,201.93,1,54.627,1.0913
172.27,202.77,1,57.027,0.84172
86.133,203.35,1,68.992,0.57469
172.27,203.9,1,61.655,0.55147
172.27,206.12,1,57.98,2.2175
